,tile_name,id,geometry_x,Total_Building_Count,Residential_Count,Non_Residential_Count,Mixed_Count,Unclassified_Count,Unknown_Count,Damage,Depth
114,TG2511,842512,"POLYGON ((625000 311000, 626000 311000, 626000 312000, 625000 312000, 625000 311000))",154,70,8,1,0,75,699288,0.116682
115,TG2512,842513,"POLYGON ((625000 312000, 626000 312000, 626000 313000, 625000 313000, 625000 312000))",137,75,3,0,0,59,520858,0.162058
116,TG2513,842514,"POLYGON ((625000 313000, 626000 313000, 626000 314000, 625000 314000, 625000 313000))",14,13,0,0,0,1,115286,0.252929
117,TG2514,842515,"POLYGON ((625000 314000, 626000 314000, 626000 315000, 625000 315000, 625000 314000))",15,15,0,0,0,0,135752,0.338
118,TG2605,842606,"POLYGON ((626000 305000, 627000 305000, 627000 306000, 626000 306000, 626000 305000))",4,4,0,0,0,0,29701,0.369
119,TG2606,842607,"POLYGON ((626000 306000, 627000 306000, 627000 307000, 626000 307000, 626000 306000))",9,9,0,0,0,0,85300,0.177889
120,TG2607,842608,"POLYGON ((626000 307000, 627000 307000, 627000 308000, 626000 308000, 626000 307000))",52,52,0,0,0,0,1451335,0.484827
121,TG2608,842609,"POLYGON ((626000 308000, 627000 308000, 627000 309000, 626000 309000, 626000 308000))",213,135,6,2,0,70,813921,0.233751
122,TG2609,842610,"POLYGON ((626000 309000, 627000 309000, 627000 310000, 626000 310000, 626000 309000))",251,135,2,0,0,114,337104,0.176896
123,TG2610,842611,"POLYGON ((626000 310000, 627000 310000, 627000 311000, 626000 311000, 626000 310000))",99,66,1,0,0,32,408083,0.132859
124,TG2611,842612,"POLYGON ((626000 311000, 627000 311000, 627000 312000, 626000 312000, 626000 311000))",75,63,1,1,0,10,507390,0.284293
125,TG2612,842613,"POLYGON ((626000 312000, 627000 312000, 627000 313000, 626000 313000, 626000 312000))",119,82,7,0,0,30,4336645,0.296983
126,TG2707,842708,"POLYGON ((627000 307000, 628000 307000, 628000 308000, 627000 308000, 627000 307000))",13,13,0,0,0,0,112982,0.304308
127,TG2708,842709,"POLYGON ((627000 308000, 628000 308000, 628000 309000, 627000 309000, 627000 308000))",169,91,14,3,0,61,665957,0.317692
128,TG2709,842710,"POLYGON ((627000 309000, 628000 309000, 628000 310000, 627000 310000, 627000 309000))",226,148,4,0,0,74,1024665,0.230686
129,TG2710,842711,"POLYGON ((627000 310000, 628000 310000, 628000 311000, 627000 311000, 627000 310000))",95,72,2,1,0,20,492977,0.287011
130,TG2711,842712,"POLYGON ((627000 311000, 628000 311000, 628000 312000, 627000 312000, 627000 311000))",36,34,0,0,0,2,157498,0.18975
131,TG2712,842713,"POLYGON ((627000 312000, 628000 312000, 628000 313000, 627000 313000, 627000 312000))",11,11,0,0,0,0,58557,0.162909
132,TG2810,842811,"POLYGON ((628000 310000, 629000 310000, 629000 311000, 628000 311000, 628000 310000))",2,0,0,0,0,2,564,0.06
133,TG2811,842812,"POLYGON ((628000 311000, 629000 311000, 629000 312000, 628000 312000, 628000 311000))",7,5,0,0,0,2,21856,0.228714
